TAZID,CO_TAZID,TOTHH,TOTPOP,HHSIZE,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
2556,492556,1,3.676127844,3.676127844,324.3333333,15.33333333,0,226.6666667,4.333333333,1,32.66666667,0,44.33333333,0,0,0,0,38465,0,0,0,49,UTAH
2557,492557,25.33333333,71.69395045,2.83002436,27.33707445,0,0,6.333333333,0.333333333,0,1.666666667,0,3,0,0,14.00162709,2.002114022,38465,0,0,0,49,UTAH
2558,492558,27,80.57277157,2.984176725,19.32980757,0,0,0,0,0,0,0,0,0.667618708,0,16.3261988,2.335990065,38465,0,0,0,49,UTAH
2559,492559,0,0,0,688.3333333,171.6666667,41,274.6666667,0.333333333,42,64,40.66666667,54,0,0,0,0,38465,0,0,0,49,UTAH
2560,492560,0,0,0,948.6665331,572,62.66666667,0.333333333,0.333333333,30.33333333,32.33333333,0.666666667,246.3333333,0,0,3.666533144,0,38465,0,0,0,49,UTAH
2561,492561,259.6666667,807.2180246,3.108670184,221.0285424,5.666666667,0,5,4.666666667,35.66666667,12,4.666666667,45.33333333,0,0,84.67042057,23.35812185,38465,0,0,0,49,UTAH
2562,492562,423.3333333,1340.255,3.165956693,221.7047975,47.33333333,27,0.666666667,1.333333333,4,9,0.333333333,81.66666667,0,0,11.32987541,39.04158872,44586,0,0,0,49,UTAH
2563,492563,30.66666667,105.6897376,3.446404488,36.01414857,0,0,0,0,0,0,0,0,3.006428827,0,30.00465168,3.003068061,72263,0,0,0,49,UTAH
2564,492564,106,372.2107147,3.511421837,44.35401012,0,0,0,0,6.333333333,0.333333333,0,0.333333333,3.340953062,0,24.33613825,9.676918802,72263,563,0,0,49,UTAH
2565,492565,55,197.5980994,3.592692717,61.35282197,0.333333333,0.666666667,0,0.333333333,0,0.333333333,0,0,4.343096005,0,50.33800829,5.005051011,72263,0,0,0,49,UTAH
2566,492566,466.3333333,1722.570439,3.693860841,206.7112109,80.66666667,23.33333333,0,0,0.666666667,55.66666667,0,0.666666667,0,0,3.332678092,42.37853282,77565,493.3333333,185,61.66666667,49,UTAH
2567,492567,130.6666667,449.097639,3.436971727,70.68160614,0,0,0,0,0,54.66666667,0,3,1.002142942,0,0,12.01279653,77565,0,0,1438,49,UTAH
2568,492568,41.66666667,137.8566425,3.308559419,18.67823694,0,0,0,0,0,0,0,0,5.67857228,0,9.329256455,3.6704082,77565,0,0,0,49,UTAH
2569,492569,339.3333333,1266.413968,3.732064738,92.69916477,0,0,0,0,0,0,0,0,2.673095494,0,59.32645694,30.69961233,77565,0,0,0,49,UTAH
2570,492570,68.33333333,224.5514869,3.286119321,112.0161066,9,8.666666667,2.333333333,2,22.33333333,13.66666667,12,17.33333333,6.012857655,0,12.66353612,6.006379531,77565,0,0,0,49,UTAH
2571,492571,36.33333333,121.0122795,3.330613197,666.6863263,0.333333333,3,5.333333333,0.333333333,16.33333333,151.3333333,414.6666667,30,6.012857655,0,36.00334101,3.336794299,77565,0,25,64,49,UTAH
2572,492572,84,284.837356,3.390920905,21.33667692,0,0,0,0,0,0,0,0,0,0,13.32750922,8.009167701,79487,0,0,0,49,UTAH
2573,492573,4.333333333,17.76329006,4.099220782,1388.866595,14.66666667,4.666666667,2.333333333,481.3333333,4.666666667,714.6666667,0.333333333,143,0,22.53258845,0,0.667340139,67950,0,0,0,49,UTAH
2574,492574,185.6666667,607.141651,3.270062752,70.68204605,0,0,0.333333333,0,0.333333333,1.333333333,0,21,0,0,30.66373037,17.01831568,77226,0,0,0,49,UTAH
2575,492575,180.6666667,618.8204849,3.425205636,121.35909,17.33333333,9.666666667,4,1,1.333333333,28,0.666666667,1.333333333,3.006428827,0,38.66853959,16.35078828,66057,0,0,0,49,UTAH
2576,492576,540.3333333,2071.464167,3.833678285,53.05202717,0,0,0,0,0,0,0,0,0,0,3.99958741,49.05243976,70255,0,0,0,49,UTAH
2577,492577,132.6666667,449.7082193,3.389760447,93.35528408,0.333333333,1,0,0,2,1,0.333333333,6,1.002142942,0,69.67394009,12.01253439,77565,0,0,0,49,UTAH
2578,492578,354,1547.953308,4.372749457,43.70017203,0,0,0,0,0,0,0,0,0,0,11.33230298,32.36786905,58053,0,0,0,49,UTAH
2579,492579,214.3333333,903.4057886,4.214957023,45.35403052,0,0,0,0,0.333333333,17,0,0,1.002142942,0,7.330821861,19.68773238,61937,518,0,0,49,UTAH
2580,492580,664,2671.021945,4.022623412,309.0617256,20.33333333,1,5,0,29,35,138.3333333,13.33333333,0,0,6.663754611,60.39797102,68378,532,0,0,49,UTAH
