TAZID,CO_TAZID,TOTHH,TOTPOP,HHSIZE,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
277,570277,254,724.5931187,2.852728814,48.96850976,0,0,0,0,0,0,7,0,0,0,24.98716764,16.98134211,67121,0,0,0,57,WEBER
278,570278,510,1531.346386,3.002639973,362.9333555,5,22,1,1,36,23,124,61,0,0,54.97176881,34.9615867,67121,0,0,0,57,WEBER
279,570279,1048,2591.509269,2.472814188,115.9283698,10,0,9,5,4,1,4,3,2.010471204,0,5.996920234,71.92097836,55904,0,0,0,57,WEBER
280,570280,1090,3670.479896,3.367412749,584.905951,154,105,3,0,11,63,55,95,0,0,24.98716764,73.91878332,59574,554,0,0,57,WEBER
281,570281,835,1877.804844,2.248868077,187.9374412,0,0,0,0,86,3,1,41,0,0,0,56.9374412,38531,0,0,0,57,WEBER
282,570282,508,1453.145763,2.860523156,1441.951834,11,1,96,5,275,156,10,834,0,0,18.99024741,34.9615867,58603,451,0,0,57,WEBER
283,570283,395,1124.505168,2.846848527,120.9703669,0,0,0,0,0,79,14,1,0,0,0,26.97036689,51073,520,0,0,57,WEBER
284,570284,459,1249.230213,2.721634451,512.9439051,28,4,1,5,19,275,6,101,0,0,42.97792834,30.9659768,54372,0,804,1677,57,WEBER
285,570285,785,1982.732263,2.525773583,234.9284147,41,27,17,0,9,11,7,45,0,0,23.98768094,53.94073377,45228,0,0,0,57,WEBER
286,570286,1254,3811.043042,3.039109284,143.905613,0,0,1,0,0,3,54,0,0,0,0,85.90561304,61880,0,0,0,57,WEBER
287,570287,309,941.3771255,3.046527914,380.976952,61,79,2,0,8,38,91,81,0,0,0,20.97695202,60436,0,0,0,57,WEBER
288,570288,814,2541.025322,3.12165273,146.9427477,2,3,5,0,2,4,57,15,1.005235602,0,1.998973411,55.93853873,71619,0,0,0,57,WEBER
289,570289,725,2400.462176,3.310982312,49.94512386,0,0,0,0,0,0,0,0,0,0,0,49.94512386,77648,0,0,0,57,WEBER
290,570290,460,1501.649947,3.264456407,498.927993,145,7,0,4,0,7,199,32,0,0,73.96201622,30.9659768,77035,0,0,0,57,WEBER
291,570291,469,1408.601104,3.003413868,251.9597463,25,27,54,5,2,16,65,16,0,0,9.994867057,31.96487927,54657,0,0,0,57,WEBER
292,570292,493,1380.884427,2.800982611,641.9611443,0,3,1,0,3,237,288,73,0,0,2.998460117,33.96268423,58710,522,0,0,57,WEBER
293,570293,597,1664.980363,2.788911831,45.9524351,0,0,0,0,0,0,0,0,0,0,4.997433528,40.95500157,55901,0,0,0,57,WEBER
294,570294,525,1227.452824,2.338005379,446.9604892,25,4,3,1,3,297,27,51,0,0,0,35.96048918,41229,472,0,0,57,WEBER
295,570295,356,760.2288458,2.135474286,289.9736595,12,18,1,0,20,5,64,146,0,0,0,23.97365945,41221,0,0,0,57,WEBER
296,570296,666,1765.948256,2.651573958,185.9372658,0,0,2,0,6,88,17,2,0,0,25.98665435,44.95061148,52568,0,863,0,57,WEBER
297,570297,288,676.0889345,2.347531023,2152.819442,579,345,0,19,117,58,61,645,0,0,308.8413921,19.97804955,55590,0,0,0,57,WEBER
298,570298,419,1270.01772,3.031068544,408.9559554,236,0,0,0,1,10,53,45,1.005235602,0,33.98254799,28.96817184,70947,0,0,0,57,WEBER
299,570299,585,1740.211342,2.974720243,47.95609909,0,1,0,0,0,0,1,6,0,0,0,39.95609909,69638,0,0,0,57,WEBER
300,570300,516,1411.570748,2.735602225,35.9615867,0,0,0,0,1,0,0,0,0,0,0,34.9615867,48391,0,0,0,57,WEBER
301,570301,370,909.7009236,2.458651145,236.9699955,0,0,0,0,1,49,134,23,0,0,4.997433528,24.97256193,55036,377,0,0,57,WEBER
302,570302,387,1002.749767,2.591084669,931.9678713,166,69,0,0,7,27,137,493,0,0,6.99640694,25.97146441,51324,0,0,0,57,WEBER
303,570303,147,389.0233547,2.646417379,1353.944471,125,140,252,120,12,378,6,213,1.005235602,0,96.95021045,9.989024773,62747,0,147,245,57,WEBER
304,570304,9,18.80774488,2.089749431,1214.835264,44,182,7,81,12,163,19,376,1.005235602,0,328.8311262,0.998902477,51279,0,0,0,57,WEBER
305,570305,285,704.7954925,2.47296664,343.9027689,13,74,5,30,0,6,1,36,1.005235602,0,158.9183862,18.97914707,51279,0,0,0,57,WEBER
306,570306,89,218.7637694,2.458019881,3146.988795,154,88,1906,109,21,502,1,351,0,0,8.995380351,5.993414864,24635,0,0,0,57,WEBER
307,570307,317,845.3586384,2.666746493,1701.932224,469,406,49,0,60,212,26,373,0,0,84.95636998,21.9758545,24635,0,10,29,57,WEBER
308,570308,403,1144.302794,2.839461027,291.9636231,27,23,81,0,7,16,5,94,0,0,10.99435376,27.96926936,37824,0,0,0,57,WEBER
309,570309,390,981.9622592,2.517851947,298.968827,55,91,1,6,2,14,1,99,0,0,2.998460117,26.97036689,26622,0,0,0,57,WEBER
310,570310,296,888.9134161,3.003085865,53.97137672,12,0,0,0,1,1,4,3,0,0,12.99332717,19.97804955,38540,0,0,0,57,WEBER
311,570311,411,952.2658199,2.316948467,228.9636231,7,41,0,0,4,56,58,24,0,0,10.99435376,27.96926936,44917,0,733,0,57,WEBER
312,570312,941,2049.054311,2.177528492,716.9297585,187,26,0,1,7,35,89,308,0,0,0,63.92975855,44917,0,0,0,57,WEBER
313,570313,2,5.939287858,2.969643929,136.0052356,0,0,1,108,0,6,0,20,1.005235602,0,0,0,22791,0,0,0,57,WEBER
314,570314,10,28.70655798,2.870655798,141.9989025,0,0,49,71,0,5,1,15,0,0,0,0.998902477,22791,0,0,0,57,WEBER
