TAZ,BLKGRPCE,STATEFP,COUNTYFP,TRACT,GEOID,NAME,NAMELSAD,PUMA,REGION
229,2,49,57,200600,49057200600,2006,Census Tract 2006,57002,1
230,3,49,57,200600,49057200600,2006,Census Tract 2006,57002,1
231,4,49,57,200600,49057200600,2006,Census Tract 2006,57002,1
232,1,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
233,1,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
234,1,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
235,1,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
236,1,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
237,1,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
238,1,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
239,1,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
240,1,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
241,1,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
242,1,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
243,2,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
244,2,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
245,2,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
246,2,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
247,2,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
248,2,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
249,2,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
250,3,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
251,3,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
252,3,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
253,3,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
254,3,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
255,3,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
256,3,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
257,3,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
258,3,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
259,3,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
260,1,49,57,201900,49057201900,2019,Census Tract 2019,57001,1
261,1,49,57,201900,49057201900,2019,Census Tract 2019,57001,1
262,1,49,57,201900,49057201900,2019,Census Tract 2019,57001,1
